Library_Name_s, env_biome_s, env_feature_s, lat, lon
P00461, city, subway, 40.69, 73.98
P00462, city, subway, 40.69, 73.98
P00463, city, subway, 40.68, 73.98
P00464, city, subway, 40.68, 73.98
P00465, city, subway, 40.68, 73.98
P00466, city, subway, 40.68, 73.96
P00467, city, subway, 40.68, 73.96
P00468, city, subway, 40.68, 73.96
P00469, city, subway, 40.79, 73.97
P00470, city, subway, 40.70, 74.00
P00471, city, subway, 40.80, 73.94
P00472, city, subway, 40.80, 73.94
P00473, city, subway, 40.81, 73.94
P00474, city, subway, 40.80, 73.94
P00475, city, subway, 40.81, 73.92
P00476, city, subway, 40.81, 73.92
P00477, city, subway, 40.81, 73.91
P00478, city, subway, 40.81, 73.91
P00479, city, subway, 40.81, 73.90
P00480, city, subway, 40.81, 73.90
P00481, city, subway, 40.81, 73.90
P00482, city, subway, 40.81, 73.90
P00483, city, subway, 40.82, 73.89
P00484, city, subway, 40.82, 73.89
P00485, city, subway, 40.82, 73.89
P00486, city, subway, 40.82, 73.89
P00487, city, subway, 40.82, 73.89
P00488, city, subway, 40.82, 73.89
P00489, city, subway, 40.83, 73.88
P00490, city, subway, 40.83, 73.88
P00491, city, subway, 40.84, 73.88
P00492, city, subway, 40.84, 73.88
P00493, city, subway, 40.84, 73.87
P00494, city, subway, 40.84, 73.87
P00495, city, subway, 40.84, 73.86
P00496, city, subway, 40.84, 73.86
P00497, city, subway, 40.85, 73.86
P00498, city, subway, 40.85, 73.86
P00499, city, subway, 40.86, 73.86
P00500, city, subway, 40.86, 73.86
P00501, city, subway, 40.87, 73.86
P00502, city, subway, 40.87, 73.86
P00503, city, subway, 40.87, 73.86
P00504, city, subway, 40.87, 73.86
P00505, city, subway, 40.88, 73.86
P00506, city, subway, 40.88, 73.86
P00507, city, subway, 40.88, 73.86
P00508, city, subway, 40.88, 73.86
P00509, city, subway, 40.89, 73.85
P00510, city, subway, 40.89, 73.85
P00511, city, subway, 40.89, 73.85
P00512, city, subway, 40.89, 73.85
P00513, city, subway, 40.90, 73.85
P00514, city, subway, 40.90, 73.85
P00515, city, subway, 40.90, 73.85
P00516, city, subway, 40.90, 73.84
P00517, city, subway, 40.89, 73.85
P00518, city, subway, 40.88, 73.85
P00519, city, subway, 40.69, 73.99
P00520, city, subway, 40.69, 73.99
P00521, city, subway, 40.68, 73.97
P00522, city, subway, 40.68, 73.98
P00523, city, subway, 40.68, 73.98
P00524, city, subway, 40.68, 73.97
P00525, city, subway, 40.68, 73.97
P00526, city, subway, 40.68, 73.97
P00527, city, subway, 40.68, 73.97
P00529, city, subway, 40.68, 73.99
P00530, city, subway, 40.71, 73.94
P00531, city, subway, 40.71, 73.94
P00532, city, subway, 40.71, 73.94
P00533, city, subway, 40.70, 73.93
P00535, city, subway, 40.70, 73.93
P00536, city, subway, 40.70, 73.93
P00537, city, subway, 40.70, 73.91
P00538, city, subway, 40.69, 73.98
P00539, city, subway, 40.68, 73.90
P00540, city, subway, 40.68, 73.90
P00541, city, subway, 40.68, 73.90
P00542, city, subway, 40.68, 73.90
P00543, city, subway, 40.67, 73.90
P00544, city, subway, 40.67, 73.90
P00545, city, subway, 40.66, 73.90
P00546, city, subway, 40.66, 73.90
P00547, city, subway, 40.66, 73.90
P00548, city, subway, 40.66, 73.90
P00549, city, subway, 40.65, 73.89
P00550, city, subway, 40.65, 73.89
P00551, city, subway, 40.64, 73.90
P00552, city, subway, 40.64, 73.90
P00553, city, subway, 40.64, 73.90
P00554, city, subway, 40.67, 73.97
P00555, city, subway, 40.67, 73.97
P00556, city, subway, 40.67, 73.95
P00557, city, subway, 40.67, 73.95
P00558, city, subway, 40.67, 73.97
P00559, city, subway, 40.66, 73.95
P00560, city, subway, 40.66, 73.95
P00561, city, subway, 40.67, 73.95
P00562, city, subway, 40.66, 73.93
P00563, city, subway, 40.66, 73.93
P00564, city, subway, 40.67, 73.91
P00565, city, subway, 40.71, 74.00
P00566, city, subway, 40.69, 73.91
P00567, city, subway, 40.66, 73.89
P00568, city, subway, 40.71, 74.00
P00569, city, subway, 40.70, 74.00
P00570, city, subway, 40.70, 73.99
P00571, city, subway, 40.69, 73.99
P00572, city, subway, 40.69, 73.98
P00573, city, subway, 40.69, 73.98
P00574, city, subway, 40.69, 73.98
P00575, city, subway, 40.75, 73.98
P00576, city, subway, 40.75, 73.97
P00577, city, subway, 40.75, 73.97
P00578, city, subway, 40.75, 73.97
P00579, city, subway, 40.75, 73.97
P00580, city, subway, 40.74, 73.98
P00581, city, subway, 40.74, 73.98
P00582, city, subway, 40.74, 73.98
P00583, city, subway, 40.74, 73.98
P00584, city, subway, 40.73, 73.98
P00585, city, subway, 40.73, 73.98
P00586, city, subway, 40.73, 73.99
P00587, city, subway, 40.73, 73.99
P00588, city, subway, 40.72, 73.99
P00589, city, subway, 40.72, 73.99
P00590, city, subway, 40.72, 73.99
P00591, city, subway, 40.72, 73.99
P00592, city, subway, 40.71, 74.00
P00593, city, subway, 40.71, 74.00
P00594, city, subway, 40.72, 73.99
P00595, city, subway, 40.72, 73.99
P00596, city, subway, 40.75, 73.97
P00597, city, subway, 40.75, 73.97
P00598, city, subway, 40.76, 73.96
P00599, city, subway, 40.76, 73.96
P00600, city, subway, 40.77, 73.95
P00601, city, subway, 40.77, 73.95
P00602, city, subway, 40.77, 73.95
P00603, city, subway, 40.77, 73.95
P00604, city, subway, 40.78, 73.95
